[Wed, 29 Oct 2025 16:09:34 GMT] [INFO] Server started on port 1080
[Wed, 29 Oct 2025 16:10:19 GMT] [INFO] Server started on port 1080
[Wed, 29 Oct 2025 16:10:22 GMT] [INFO] Server started on port 1080
[Wed, 29 Oct 2025 16:10:22 GMT] GET /img/light-group-chat.png HTTP/1.1 localhost:1080 mozilla/5.0 (x11; linux x86_64; rv:144.0) gecko/20100101 firefox/144.0 keep-alive 
[Wed, 29 Oct 2025 16:10:22 GMT] GET /img/light-home.png HTTP/1.1 localhost:1080 mozilla/5.0 (x11; linux x86_64; rv:144.0) gecko/20100101 firefox/144.0 keep-alive 
[Wed, 29 Oct 2025 16:10:22 GMT] GET /upload-page.html HTTP/1.1 localhost:1080 mozilla/5.0 (x11; linux x86_64; rv:144.0) gecko/20100101 firefox/144.0 keep-alive 
[Wed, 29 Oct 2025 16:10:22 GMT] GET /style.css HTTP/1.1 localhost:1080 mozilla/5.0 (x11; linux x86_64; rv:144.0) gecko/20100101 firefox/144.0 keep-alive 
[Wed, 29 Oct 2025 16:10:22 GMT] GET /upload-script.js HTTP/1.1 localhost:1080 mozilla/5.0 (x11; linux x86_64; rv:144.0) gecko/20100101 firefox/144.0 keep-alive 
[Wed, 29 Oct 2025 16:10:22 GMT] GET /img/arrow_back.png HTTP/1.1 localhost:1080 mozilla/5.0 (x11; linux x86_64; rv:144.0) gecko/20100101 firefox/144.0 keep-alive 
[Wed, 29 Oct 2025 16:10:22 GMT] GET /img/upload.png HTTP/1.1 localhost:1080 mozilla/5.0 (x11; linux x86_64; rv:144.0) gecko/20100101 firefox/144.0 keep-alive 
[Wed, 29 Oct 2025 16:10:22 GMT] GET /media/3129671-uhd_3840_2160_30fps.mp4 HTTP/1.1 localhost:1080 mozilla/5.0 (x11; linux x86_64; rv:144.0) gecko/20100101 firefox/144.0 keep-alive 
[Wed, 29 Oct 2025 16:10:22 GMT] GET /main-page.html HTTP/1.1 localhost:1080 mozilla/5.0 (x11; linux x86_64; rv:144.0) gecko/20100101 firefox/144.0 keep-alive 
[Wed, 29 Oct 2025 16:10:22 GMT] GET /style.css HTTP/1.1 localhost:1080 mozilla/5.0 (x11; linux x86_64; rv:144.0) gecko/20100101 firefox/144.0 keep-alive 
[Wed, 29 Oct 2025 16:10:22 GMT] GET /script.js HTTP/1.1 localhost:1080 mozilla/5.0 (x11; linux x86_64; rv:144.0) gecko/20100101 firefox/144.0 keep-alive 
